Año,Trimestre,Provincia,Accesos por cada 100 hogares
2019,2,San Luis,82.0
2019,2,Santa Cruz,29.0
2019,2,Santa Fe,67.0
2019,2,Santiago Del Estero,53.0
2019,2,Tierra Del Fuego,95.0
2019,2,Tucumán,40.0
2019,1,Buenos Aires,66.0
2019,1,Capital Federal,109.0
2019,1,Catamarca,32.0
2019,1,Chaco,33.0
2019,1,Chubut,43.0
2019,1,Córdoba,66.0
2019,1,Corrientes,35.0
2019,1,Entre Ríos,57.0
2019,1,Formosa,30.0
2019,1,Jujuy,46.0
2019,1,La Pampa,76.0
2019,1,La Rioja,50.0
2019,1,Mendoza,38.0
2019,1,Misiones,36.0
2019,1,Neuquén,59.0
2019,1,Río Negro,54.0
2019,1,Salta,40.0
2019,1,San Juan,32.0
2019,1,San Luis,67.0
2019,1,Santa Cruz,24.0
2019,1,Santa Fe,67.0
2019,1,Santiago Del Estero,38.0
2019,1,Tierra Del Fuego,93.0
2019,1,Tucumán,42.0
2018,4,Buenos Aires,65.0
2018,4,Capital Federal,108.0
2018,4,Catamarca,32.0
2018,4,Chaco,33.0
2018,4,Chubut,43.0
2018,4,Córdoba,65.0
2018,4,Corrientes,35.0
2018,4,Entre Ríos,54.0
2018,4,Formosa,30.0
2018,4,Jujuy,47.0
2018,4,La Pampa,73.0
2018,4,La Rioja,50.0
2018,4,Mendoza,38.0
2018,4,Misiones,34.0
2018,4,Neuquén,59.0
2018,4,Río Negro,52.0
2018,4,Salta,40.0
2018,4,San Juan,32.0
2018,4,San Luis,68.0
2018,4,Santa Cruz,24.0
2018,4,Santa Fe,66.0
2018,4,Santiago Del Estero,37.0
2018,4,Tierra Del Fuego,94.0
2018,4,Tucumán,42.0
2018,3,Buenos Aires,64.0
2018,3,Capital Federal,108.0
2018,3,Catamarca,33.0
2018,3,Chaco,32.0
2018,3,Chubut,56.0
2018,3,Córdoba,64.0
2018,3,Corrientes,34.0
2018,3,Entre Ríos,50.0
2018,3,Formosa,30.0
2018,3,Jujuy,23.0
2018,3,La Pampa,72.0
2018,3,La Rioja,51.0
2018,3,Mendoza,38.0
2018,3,Misiones,32.0
2018,3,Neuquén,60.0
2018,3,Río Negro,51.0
2018,3,Salta,39.0
2018,3,San Juan,33.0
2018,3,San Luis,52.0
2018,3,Santa Cruz,33.0
2018,3,Santa Fe,63.0
2018,3,Santiago Del Estero,36.0
2018,3,Tierra Del Fuego,93.0
2018,3,Tucumán,42.0
2018,2,Buenos Aires,63.0
2018,2,Capital Federal,107.0
2018,2,Catamarca,33.0
2018,2,Chaco,31.0
2018,2,Chubut,55.0
2018,2,Córdoba,63.0
2018,2,Corrientes,34.0
2018,2,Entre Ríos,49.0
2018,2,Formosa,29.0
2018,2,Jujuy,23.0
2018,2,La Pampa,71.0
2018,2,La Rioja,51.0
2018,2,Mendoza,37.0
2018,2,Misiones,32.0
2018,2,Neuquén,60.0
2018,2,Río Negro,50.0
2018,2,Salta,40.0
2018,2,San Juan,33.0
2018,2,San Luis,15.0
2018,2,Santa Cruz,33.0
2018,2,Santa Fe,63.0
2018,2,Santiago Del Estero,35.0
2018,2,Tierra Del Fuego,92.0
2018,2,Tucumán,42.0
2018,1,Buenos Aires,63.0
2018,1,Capital Federal,106.0
2018,1,Catamarca,33.0
2018,1,Chaco,31.0
2018,1,Chubut,54.0
2018,1,Córdoba,64.0
2018,1,Corrientes,33.0
2018,1,Entre Ríos,49.0
2018,1,Formosa,21.0
2018,1,Jujuy,23.0
2018,1,La Pampa,72.0
2018,1,La Rioja,51.0
2018,1,Mendoza,37.0
2018,1,Misiones,31.0
2018,1,Neuquén,62.0
2018,1,Río Negro,50.0
2018,1,Salta,40.0
2018,1,San Juan,33.0
2018,1,San Luis,15.0
2018,1,Santa Cruz,34.0
2018,1,Santa Fe,62.0
2018,1,Santiago Del Estero,35.0
2018,1,Tierra Del Fuego,65.0
2018,1,Tucumán,41.0
2017,4,Buenos Aires,58.0
2017,4,Capital Federal,123.0
2017,4,Catamarca,29.0
2017,4,Chaco,31.0
2017,4,Chubut,51.0
2017,4,Córdoba,63.0
2017,4,Corrientes,33.0
2017,4,Entre Ríos,48.0
2017,4,Formosa,21.0
2017,4,Jujuy,23.0
2017,4,La Pampa,71.0
2017,4,La Rioja,52.0
2017,4,Mendoza,33.0
2017,4,Misiones,31.0
2017,4,Neuquén,61.0
2017,4,Río Negro,49.0
2017,4,Salta,40.0
2017,4,San Juan,30.0
2017,4,San Luis,11.0
2017,4,Santa Cruz,29.0
2017,4,Santa Fe,62.0
2017,4,Santiago Del Estero,29.0
2017,4,Tierra Del Fuego,60.0
2017,4,Tucumán,40.0
2017,3,Buenos Aires,56.0
2017,3,Capital Federal,122.0
2017,3,Catamarca,32.0
2017,3,Chaco,30.0
2017,3,Chubut,46.0
2017,3,Córdoba,62.0
2017,3,Corrientes,32.0
2017,3,Entre Ríos,46.0
2017,3,Formosa,21.0
2017,3,Jujuy,23.0
2017,3,La Pampa,69.0
2017,3,La Rioja,51.0
2017,3,Mendoza,36.0
2017,3,Misiones,30.0
2017,3,Neuquén,61.0
2017,3,Río Negro,49.0
2017,3,Salta,40.0
2017,3,San Juan,32.0
2017,3,San Luis,15.0
2017,3,Santa Cruz,33.0
2017,3,Santa Fe,61.0
2017,3,Santiago Del Estero,35.0
2017,3,Tierra Del Fuego,66.0
2017,3,Tucumán,40.0
2017,2,Buenos Aires,56.0
2017,2,Capital Federal,124.0
2017,2,Catamarca,26.0
2017,2,Chaco,29.0
2017,2,Chubut,36.0
2017,2,Córdoba,59.0
2017,2,Corrientes,31.0
2017,2,Entre Ríos,45.0
2017,2,Formosa,20.0
2017,2,Jujuy,22.0
2017,2,La Pampa,63.0
2017,2,La Rioja,16.0
2017,2,Mendoza,32.0
2017,2,Misiones,30.0
2017,2,Neuquén,62.0
2017,2,Río Negro,46.0
2017,2,Salta,33.0
2017,2,San Juan,27.0
2017,2,San Luis,10.0
2017,2,Santa Cruz,26.0
2017,2,Santa Fe,52.0
2017,2,Santiago Del Estero,14.0
2017,2,Tierra Del Fuego,68.0
2017,2,Tucumán,38.0
2017,1,Buenos Aires,59.0
2017,1,Capital Federal,108.0
2017,1,Catamarca,26.0
2017,1,Chaco,29.0
2017,1,Chubut,36.0
2017,1,Córdoba,58.0
2017,1,Corrientes,31.0
2017,1,Entre Ríos,45.0
2017,1,Formosa,20.0
2017,1,Jujuy,23.0
2017,1,La Pampa,63.0
2017,1,La Rioja,16.0
2017,1,Mendoza,32.0
2017,1,Misiones,30.0
2017,1,Neuquén,61.0
2017,1,Río Negro,46.0
2017,1,Salta,33.0
2017,1,San Juan,27.0
2017,1,San Luis,10.0
2017,1,Santa Cruz,27.0
2017,1,Santa Fe,52.0
2017,1,Santiago Del Estero,15.0
2017,1,Tierra Del Fuego,69.0
2017,1,Tucumán,38.0
2016,4,Buenos Aires,61.0
2016,4,Capital Federal,121.0
2016,4,Catamarca,27.0
2016,4,Chaco,29.0
2016,4,Chubut,36.0
2016,4,Córdoba,58.0
2016,4,Corrientes,31.0
2016,4,Entre Ríos,45.0
2016,4,Formosa,20.0
2016,4,Jujuy,23.0
2016,4,La Pampa,63.0
2016,4,La Rioja,16.0
2016,4,Mendoza,32.0
2016,4,Misiones,30.0
2016,4,Neuquén,61.0
2016,4,Río Negro,46.0
2016,4,Salta,33.0
2016,4,San Juan,27.0
2016,4,San Luis,10.0
2016,4,Santa Cruz,27.0
2016,4,Santa Fe,52.0
2016,4,Santiago Del Estero,15.0
2016,4,Tierra Del Fuego,70.0
2016,4,Tucumán,38.0
2016,3,Buenos Aires,60.0
2016,3,Capital Federal,121.0
2016,3,Catamarca,26.0
2016,3,Chaco,29.0
2016,3,Chubut,36.0
2016,3,Córdoba,58.0
2016,3,Corrientes,31.0
2016,3,Entre Ríos,45.0
2016,3,Formosa,19.0
2016,3,Jujuy,23.0
2016,3,La Pampa,62.0
2016,3,La Rioja,17.0
2016,3,Mendoza,32.0
2016,3,Misiones,30.0
2016,3,Neuquén,60.0
2016,3,Río Negro,46.0
2016,3,Salta,33.0
2016,3,San Juan,27.0
2016,3,San Luis,10.0
2016,3,Santa Cruz,27.0
2016,3,Santa Fe,53.0
2016,3,Santiago Del Estero,15.0
2016,3,Tierra Del Fuego,69.0
2016,3,Tucumán,38.0
2016,2,Buenos Aires,59.0
2016,2,Capital Federal,120.0
2016,2,Catamarca,26.0
2016,2,Chaco,29.0
2016,2,Chubut,36.0
2016,2,Córdoba,58.0
2016,2,Corrientes,31.0
2016,2,Entre Ríos,45.0
2016,2,Formosa,19.0
2016,2,Jujuy,22.0
2016,2,La Pampa,60.0
2016,2,La Rioja,17.0
2016,2,Mendoza,32.0
2016,2,Misiones,29.0
2016,2,Neuquén,59.0
2016,2,Río Negro,46.0
2016,2,Salta,32.0
2016,2,San Juan,27.0
2016,2,San Luis,10.0
2016,2,Santa Cruz,27.0
2016,2,Santa Fe,52.0
2016,2,Santiago Del Estero,16.0
2016,2,Tierra Del Fuego,68.0
2016,2,Tucumán,37.0
2016,1,Buenos Aires,57.0
2016,1,Capital Federal,115.0
2016,1,Catamarca,26.0
2016,1,Chaco,28.0
2016,1,Chubut,36.0
2016,1,Córdoba,55.0
2016,1,Corrientes,30.0
2016,1,Entre Ríos,44.0
2016,1,Formosa,19.0
2016,1,Jujuy,21.0
2016,1,La Pampa,58.0
2016,1,La Rioja,17.0
2016,1,Mendoza,32.0
2016,1,Misiones,28.0
2016,1,Neuquén,56.0
2016,1,Río Negro,46.0
2016,1,Salta,31.0
2016,1,San Juan,27.0
2016,1,San Luis,10.0
2016,1,Santa Cruz,27.0
2016,1,Santa Fe,51.0
2016,1,Santiago Del Estero,16.0
2016,1,Tierra Del Fuego,66.0
2016,1,Tucumán,37.0
2015,4,Buenos Aires,58.0
2015,4,Capital Federal,118.0
2015,4,Catamarca,26.0
2015,4,Chaco,28.0
2015,4,Chubut,37.0
2015,4,Córdoba,57.0
2015,4,Corrientes,30.0
2015,4,Entre Ríos,44.0
2015,4,Formosa,19.0
2015,4,Jujuy,21.0
2015,4,La Pampa,59.0
2015,4,La Rioja,17.0
2015,4,Mendoza,32.0
2015,4,Misiones,29.0
2015,4,Neuquén,58.0
2015,4,Río Negro,46.0
2015,4,Salta,32.0
2015,4,San Juan,28.0
2015,4,San Luis,10.0
2015,4,Santa Cruz,28.0
2015,4,Santa Fe,53.0
2015,4,Santiago Del Estero,17.0
2015,4,Tierra Del Fuego,66.0
2015,4,Tucumán,37.0
2015,3,Buenos Aires,58.0
2015,3,Capital Federal,118.0
2015,3,Catamarca,26.0
2015,3,Chaco,28.0
2015,3,Chubut,37.0
2015,3,Córdoba,57.0
2015,3,Corrientes,30.0
2015,3,Entre Ríos,44.0
2015,3,Formosa,19.0
2015,3,Jujuy,21.0
2015,3,La Pampa,58.0
2015,3,La Rioja,17.0
2015,3,Mendoza,32.0
2015,3,Misiones,28.0
2015,3,Neuquén,55.0
2015,3,Río Negro,46.0
2015,3,Salta,31.0
2015,3,San Juan,28.0
2015,3,San Luis,10.0
2015,3,Santa Cruz,28.0
2015,3,Santa Fe,52.0
2015,3,Santiago Del Estero,17.0
2015,3,Tierra Del Fuego,75.0
2015,3,Tucumán,37.0
2015,2,Buenos Aires,57.0
2015,2,Capital Federal,116.0
2015,2,Catamarca,25.0
2015,2,Chaco,27.0
2015,2,Chubut,37.0
2015,2,Córdoba,56.0
2015,2,Corrientes,30.0
2015,2,Entre Ríos,43.0
2015,2,Formosa,18.0
2015,2,Jujuy,20.0
2015,2,La Pampa,57.0
2015,2,La Rioja,17.0
2015,2,Mendoza,32.0
2015,2,Misiones,27.0
2015,2,Neuquén,53.0
2015,2,Río Negro,46.0
2015,2,Salta,30.0
2015,2,San Juan,28.0
2015,2,San Luis,10.0
2015,2,Santa Cruz,27.0
2015,2,Santa Fe,51.0
2015,2,Santiago Del Estero,17.0
2015,2,Tierra Del Fuego,75.0
2015,2,Tucumán,36.0
2015,1,Buenos Aires,56.0
2015,1,Capital Federal,115.0
2015,1,Catamarca,25.0
2015,1,Chaco,27.0
2015,1,Chubut,38.0
2015,1,Córdoba,55.0
2015,1,Corrientes,29.0
2015,1,Entre Ríos,42.0
2015,1,Formosa,18.0
2015,1,Jujuy,20.0
2015,1,La Pampa,56.0
2015,1,La Rioja,17.0
2015,1,Mendoza,32.0
2015,1,Misiones,26.0
2015,1,Neuquén,52.0
2015,1,Río Negro,45.0
2015,1,Salta,30.0
2015,1,San Juan,28.0
2015,1,San Luis,10.0
2015,1,Santa Cruz,28.0
2015,1,Santa Fe,50.0
2015,1,Santiago Del Estero,17.0
2015,1,Tierra Del Fuego,74.0
2015,1,Tucumán,35.0
2014,4,Buenos Aires,56.0
2014,4,Capital Federal,115.0
2014,4,Catamarca,26.0
2014,4,Chaco,22.0
2014,4,Chubut,40.0
2014,4,Córdoba,55.0
2014,4,Corrientes,24.0
2014,4,Entre Ríos,36.0
2014,4,Formosa,18.0
2014,4,Jujuy,20.0
2014,4,La Pampa,51.0
2014,4,La Rioja,17.0
2014,4,Mendoza,33.0
2014,4,Misiones,24.0
2014,4,Neuquén,53.0
2014,4,Río Negro,45.0
2014,4,Salta,30.0
2014,4,San Juan,28.0
2014,4,San Luis,10.0
2014,4,Santa Cruz,28.0
2014,4,Santa Fe,50.0
2014,4,Santiago Del Estero,17.0
2014,4,Tierra Del Fuego,66.0
2014,4,Tucumán,35.0
2014,3,Buenos Aires,57.0
2014,3,Capital Federal,114.0
2014,3,Catamarca,25.0
2014,3,Chaco,21.0
2014,3,Chubut,41.0
2014,3,Córdoba,54.0
2014,3,Corrientes,23.0
2014,3,Entre Ríos,35.0
2014,3,Formosa,18.0
2014,3,Jujuy,18.0
2014,3,La Pampa,56.0
2014,3,La Rioja,17.0
2014,3,Mendoza,32.0
2014,3,Misiones,24.0
2014,3,Neuquén,56.0
2014,3,Río Negro,46.0
2014,3,Salta,29.0
2014,3,San Juan,28.0
2014,3,San Luis,10.0
2014,3,Santa Cruz,28.0
2014,3,Santa Fe,49.0
2014,3,Santiago Del Estero,16.0
2014,3,Tierra Del Fuego,66.0
2014,3,Tucumán,34.0
2014,2,Buenos Aires,55.0
2014,2,Capital Federal,113.0
2014,2,Catamarca,25.0
2014,2,Chaco,21.0
2014,2,Chubut,41.0
2014,2,Córdoba,53.0
2014,2,Corrientes,23.0
2014,2,Entre Ríos,35.0
2014,2,Formosa,18.0
2014,2,Jujuy,19.0
2014,2,La Pampa,50.0
2014,2,La Rioja,17.0
2014,2,Mendoza,32.0
2014,2,Misiones,23.0
2014,2,Neuquén,51.0
2014,2,Río Negro,45.0
2014,2,Salta,29.0
2014,2,San Juan,28.0
2014,2,San Luis,10.0
2014,2,Santa Cruz,29.0
2014,2,Santa Fe,48.0
2014,2,Santiago Del Estero,17.0
2014,2,Tierra Del Fuego,64.0
2014,2,Tucumán,34.0
2014,1,Buenos Aires,55.0
2014,1,Capital Federal,112.0
2014,1,Catamarca,24.0
2014,1,Chaco,21.0
2014,1,Chubut,41.0
2014,1,Córdoba,53.0
2014,1,Corrientes,22.0
2014,1,Entre Ríos,34.0
2014,1,Formosa,17.0
2014,1,Jujuy,18.0
2014,1,La Pampa,48.0
2014,1,La Rioja,16.0
2014,1,Mendoza,32.0
2014,1,Misiones,23.0
2014,1,Neuquén,50.0
2014,1,Río Negro,45.0
