,Año,Trimestre,Provincia,Accesos por cada 100 hogares,acceso_actual,nuevo_acceso,KPI
984,2014,1,Buenos Aires,55.0,55.0,55.0,0.0
960,2014,2,Buenos Aires,55.0,55.0,57.0,3.64
936,2014,3,Buenos Aires,57.0,57.0,56.0,-1.75
912,2014,4,Buenos Aires,56.0,56.0,56.0,0.0
888,2015,1,Buenos Aires,56.0,56.0,57.0,1.79
864,2015,2,Buenos Aires,57.0,57.0,58.0,1.75
840,2015,3,Buenos Aires,58.0,58.0,58.0,0.0
816,2015,4,Buenos Aires,58.0,58.0,57.0,-1.72
792,2016,1,Buenos Aires,57.0,57.0,59.0,3.51
768,2016,2,Buenos Aires,59.0,59.0,60.0,1.69
744,2016,3,Buenos Aires,60.0,60.0,61.0,1.67
720,2016,4,Buenos Aires,61.0,61.0,59.0,-3.28
696,2017,1,Buenos Aires,59.0,59.0,56.0,-5.08
672,2017,2,Buenos Aires,56.0,56.0,56.0,0.0
648,2017,3,Buenos Aires,56.0,56.0,58.0,3.57
624,2017,4,Buenos Aires,58.0,58.0,63.0,8.62
600,2018,1,Buenos Aires,63.0,63.0,63.0,0.0
576,2018,2,Buenos Aires,63.0,63.0,64.0,1.59
552,2018,3,Buenos Aires,64.0,64.0,65.0,1.56
528,2018,4,Buenos Aires,65.0,65.0,66.0,1.54
504,2019,1,Buenos Aires,66.0,66.0,68.0,3.03
480,2019,2,Buenos Aires,68.0,68.0,69.0,1.47
456,2019,3,Buenos Aires,69.0,69.0,64.0,-7.25
432,2019,4,Buenos Aires,64.0,64.0,64.0,0.0
408,2020,1,Buenos Aires,64.0,64.0,65.0,1.56
384,2020,2,Buenos Aires,65.0,65.0,68.0,4.62
360,2020,3,Buenos Aires,68.0,68.0,69.0,1.47
336,2020,4,Buenos Aires,69.0,69.0,69.0,0.0
312,2021,1,Buenos Aires,69.0,69.0,70.0,1.45
288,2021,2,Buenos Aires,70.0,70.0,72.0,2.86
264,2021,3,Buenos Aires,72.0,72.0,76.0,5.56
240,2021,4,Buenos Aires,76.0,76.0,76.0,0.0
216,2022,1,Buenos Aires,76.0,76.0,78.0,2.63
192,2022,2,Buenos Aires,78.0,78.0,78.0,0.0
168,2022,3,Buenos Aires,78.0,78.0,79.0,1.28
144,2022,4,Buenos Aires,79.0,79.0,79.0,0.0
120,2023,1,Buenos Aires,79.0,79.0,80.0,1.27
96,2023,2,Buenos Aires,80.0,80.0,81.0,1.25
72,2023,3,Buenos Aires,81.0,81.0,81.0,0.0
48,2023,4,Buenos Aires,81.0,81.0,81.0,0.0
24,2024,1,Buenos Aires,81.0,81.0,80.0,-1.23
985,2014,1,Capital Federal,112.0,112.0,113.0,0.89
961,2014,2,Capital Federal,113.0,113.0,114.0,0.88
937,2014,3,Capital Federal,114.0,114.0,115.0,0.88
913,2014,4,Capital Federal,115.0,115.0,115.0,0.0
889,2015,1,Capital Federal,115.0,115.0,116.0,0.87
865,2015,2,Capital Federal,116.0,116.0,118.0,1.72
841,2015,3,Capital Federal,118.0,118.0,118.0,0.0
817,2015,4,Capital Federal,118.0,118.0,115.0,-2.54
793,2016,1,Capital Federal,115.0,115.0,120.0,4.35
769,2016,2,Capital Federal,120.0,120.0,121.0,0.83
745,2016,3,Capital Federal,121.0,121.0,121.0,0.0
721,2016,4,Capital Federal,121.0,121.0,108.0,-10.74
697,2017,1,Capital Federal,108.0,108.0,124.0,14.81
673,2017,2,Capital Federal,124.0,124.0,122.0,-1.61
649,2017,3,Capital Federal,122.0,122.0,123.0,0.82
625,2017,4,Capital Federal,123.0,123.0,106.0,-13.82
601,2018,1,Capital Federal,106.0,106.0,107.0,0.94
577,2018,2,Capital Federal,107.0,107.0,108.0,0.93
553,2018,3,Capital Federal,108.0,108.0,108.0,0.0
529,2018,4,Capital Federal,108.0,108.0,109.0,0.93
505,2019,1,Capital Federal,109.0,109.0,111.0,1.83
481,2019,2,Capital Federal,111.0,111.0,113.0,1.8
457,2019,3,Capital Federal,113.0,113.0,106.0,-6.19
433,2019,4,Capital Federal,106.0,106.0,106.0,0.0
409,2020,1,Capital Federal,106.0,106.0,106.0,0.0
385,2020,2,Capital Federal,106.0,106.0,108.0,1.89
361,2020,3,Capital Federal,108.0,108.0,108.0,0.0
337,2020,4,Capital Federal,108.0,108.0,108.0,0.0
313,2021,1,Capital Federal,108.0,108.0,110.0,1.85
289,2021,2,Capital Federal,110.0,110.0,111.0,0.91
265,2021,3,Capital Federal,111.0,111.0,111.0,0.0
241,2021,4,Capital Federal,111.0,111.0,112.0,0.9
217,2022,1,Capital Federal,112.0,112.0,121.0,8.04
193,2022,2,Capital Federal,121.0,121.0,122.0,0.83
169,2022,3,Capital Federal,122.0,122.0,123.0,0.82
145,2022,4,Capital Federal,123.0,123.0,123.0,0.0
121,2023,1,Capital Federal,123.0,123.0,115.0,-6.5
97,2023,2,Capital Federal,115.0,115.0,116.0,0.87
73,2023,3,Capital Federal,116.0,116.0,117.0,0.86
49,2023,4,Capital Federal,117.0,117.0,120.0,2.56
25,2024,1,Capital Federal,120.0,120.0,116.0,-3.33
986,2014,1,Catamarca,24.0,24.0,25.0,4.17
962,2014,2,Catamarca,25.0,25.0,25.0,0.0
938,2014,3,Catamarca,25.0,25.0,26.0,4.0
914,2014,4,Catamarca,26.0,26.0,25.0,-3.85
890,2015,1,Catamarca,25.0,25.0,25.0,0.0
866,2015,2,Catamarca,25.0,25.0,26.0,4.0
842,2015,3,Catamarca,26.0,26.0,26.0,0.0
818,2015,4,Catamarca,26.0,26.0,26.0,0.0
794,2016,1,Catamarca,26.0,26.0,26.0,0.0
770,2016,2,Catamarca,26.0,26.0,26.0,0.0
746,2016,3,Catamarca,26.0,26.0,27.0,3.85
722,2016,4,Catamarca,27.0,27.0,26.0,-3.7
698,2017,1,Catamarca,26.0,26.0,26.0,0.0
674,2017,2,Catamarca,26.0,26.0,32.0,23.08
650,2017,3,Catamarca,32.0,32.0,29.0,-9.38
626,2017,4,Catamarca,29.0,29.0,33.0,13.79
602,2018,1,Catamarca,33.0,33.0,33.0,0.0
578,2018,2,Catamarca,33.0,33.0,33.0,0.0
554,2018,3,Catamarca,33.0,33.0,32.0,-3.03
530,2018,4,Catamarca,32.0,32.0,32.0,0.0
506,2019,1,Catamarca,32.0,32.0,32.0,0.0
482,2019,2,Catamarca,32.0,32.0,31.0,-3.12
458,2019,3,Catamarca,31.0,31.0,36.0,16.13
434,2019,4,Catamarca,36.0,36.0,38.0,5.56
410,2020,1,Catamarca,38.0,38.0,45.0,18.42
386,2020,2,Catamarca,45.0,45.0,47.0,4.44
362,2020,3,Catamarca,47.0,47.0,49.0,4.26
338,2020,4,Catamarca,49.0,49.0,49.0,0.0
314,2021,1,Catamarca,49.0,49.0,52.0,6.12
290,2021,2,Catamarca,52.0,52.0,53.0,1.92
266,2021,3,Catamarca,53.0,53.0,55.0,3.77
242,2021,4,Catamarca,55.0,55.0,58.0,5.45
218,2022,1,Catamarca,58.0,58.0,62.0,6.9
194,2022,2,Catamarca,62.0,62.0,65.0,4.84
170,2022,3,Catamarca,65.0,65.0,66.0,1.54
146,2022,4,Catamarca,66.0,66.0,66.0,0.0
122,2023,1,Catamarca,66.0,66.0,67.0,1.52
98,2023,2,Catamarca,67.0,67.0,69.0,2.99
74,2023,3,Catamarca,69.0,69.0,69.0,0.0
50,2023,4,Catamarca,69.0,69.0,69.0,0.0
26,2024,1,Catamarca,69.0,69.0,69.0,0.0
987,2014,1,Chaco,21.0,21.0,21.0,0.0
963,2014,2,Chaco,21.0,21.0,21.0,0.0
939,2014,3,Chaco,21.0,21.0,22.0,4.76
915,2014,4,Chaco,22.0,22.0,27.0,22.73
891,2015,1,Chaco,27.0,27.0,27.0,0.0
867,2015,2,Chaco,27.0,27.0,28.0,3.7
843,2015,3,Chaco,28.0,28.0,28.0,0.0
819,2015,4,Chaco,28.0,28.0,28.0,0.0
795,2016,1,Chaco,28.0,28.0,29.0,3.57
771,2016,2,Chaco,29.0,29.0,29.0,0.0
747,2016,3,Chaco,29.0,29.0,29.0,0.0
723,2016,4,Chaco,29.0,29.0,29.0,0.0
699,2017,1,Chaco,29.0,29.0,29.0,0.0
675,2017,2,Chaco,29.0,29.0,30.0,3.45
651,2017,3,Chaco,30.0,30.0,31.0,3.33
627,2017,4,Chaco,31.0,31.0,31.0,0.0
603,2018,1,Chaco,31.0,31.0,31.0,0.0
579,2018,2,Chaco,31.0,31.0,32.0,3.23
555,2018,3,Chaco,32.0,32.0,33.0,3.12
531,2018,4,Chaco,33.0,33.0,33.0,0.0
507,2019,1,Chaco,33.0,33.0,34.0,3.03
483,2019,2,Chaco,34.0,34.0,36.0,5.88
459,2019,3,Chaco,36.0,36.0,37.0,2.78
435,2019,4,Chaco,37.0,37.0,37.0,0.0
411,2020,1,Chaco,37.0,37.0,40.0,8.11
387,2020,2,Chaco,40.0,40.0,42.0,5.0
363,2020,3,Chaco,42.0,42.0,43.0,2.38
339,2020,4,Chaco,43.0,43.0,43.0,0.0
315,2021,1,Chaco,43.0,43.0,43.0,0.0
291,2021,2,Chaco,43.0,43.0,43.0,0.0
267,2021,3,Chaco,43.0,43.0,44.0,2.33
243,2021,4,Chaco,44.0,44.0,44.0,0.0
219,2022,1,Chaco,44.0,44.0,44.0,0.0
195,2022,2,Chaco,44.0,44.0,44.0,0.0
171,2022,3,Chaco,44.0,44.0,44.0,0.0
147,2022,4,Chaco,44.0,44.0,43.0,-2.27
123,2023,1,Chaco,43.0,43.0,43.0,0.0
99,2023,2,Chaco,43.0,43.0,43.0,0.0
75,2023,3,Chaco,43.0,43.0,44.0,2.33
51,2023,4,Chaco,44.0,44.0,47.0,6.82
27,2024,1,Chaco,47.0,47.0,44.0,-6.38
988,2014,1,Chubut,41.0,41.0,41.0,0.0
964,2014,2,Chubut,41.0,41.0,41.0,0.0
940,2014,3,Chubut,41.0,41.0,40.0,-2.44
916,2014,4,Chubut,40.0,40.0,38.0,-5.0
892,2015,1,Chubut,38.0,38.0,37.0,-2.63
868,2015,2,Chubut,37.0,37.0,37.0,0.0
844,2015,3,Chubut,37.0,37.0,37.0,0.0
820,2015,4,Chubut,37.0,37.0,36.0,-2.7
796,2016,1,Chubut,36.0,36.0,36.0,0.0
772,2016,2,Chubut,36.0,36.0,36.0,0.0
748,2016,3,Chubut,36.0,36.0,36.0,0.0
724,2016,4,Chubut,36.0,36.0,36.0,0.0
700,2017,1,Chubut,36.0,36.0,36.0,0.0
676,2017,2,Chubut,36.0,36.0,46.0,27.78
652,2017,3,Chubut,46.0,46.0,51.0,10.87
628,2017,4,Chubut,51.0,51.0,54.0,5.88
604,2018,1,Chubut,54.0,54.0,55.0,1.85
580,2018,2,Chubut,55.0,55.0,56.0,1.82
556,2018,3,Chubut,56.0,56.0,43.0,-23.21
532,2018,4,Chubut,43.0,43.0,43.0,0.0
508,2019,1,Chubut,43.0,43.0,47.0,9.3
484,2019,2,Chubut,47.0,47.0,48.0,2.13
460,2019,3,Chubut,48.0,48.0,51.0,6.25
436,2019,4,Chubut,51.0,51.0,51.0,0.0
412,2020,1,Chubut,51.0,51.0,57.0,11.76
388,2020,2,Chubut,57.0,57.0,68.0,19.3
364,2020,3,Chubut,68.0,68.0,68.0,0.0
340,2020,4,Chubut,68.0,68.0,69.0,1.47
316,2021,1,Chubut,69.0,69.0,72.0,4.35
292,2021,2,Chubut,72.0,72.0,81.0,12.5
268,2021,3,Chubut,81.0,81.0,83.0,2.47
244,2021,4,Chubut,83.0,83.0,88.0,6.02
220,2022,1,Chubut,88.0,88.0,83.0,-5.68
196,2022,2,Chubut,83.0,83.0,84.0,1.2
172,2022,3,Chubut,84.0,84.0,86.0,2.38
148,2022,4,Chubut,86.0,86.0,86.0,0.0
124,2023,1,Chubut,86.0,86.0,82.0,-4.65
100,2023,2,Chubut,82.0,82.0,84.0,2.44
76,2023,3,Chubut,84.0,84.0,85.0,1.19
52,2023,4,Chubut,85.0,85.0,85.0,0.0
28,2024,1,Chubut,85.0,85.0,86.0,1.18
990,2014,1,Corrientes,22.0,22.0,23.0,4.55
966,2014,2,Corrientes,23.0,23.0,23.0,0.0
942,2014,3,Corrientes,23.0,23.0,24.0,4.35
918,2014,4,Corrientes,24.0,24.0,29.0,20.83
894,2015,1,Corrientes,29.0,29.0,30.0,3.45
870,2015,2,Corrientes,30.0,30.0,30.0,0.0
846,2015,3,Corrientes,30.0,30.0,30.0,0.0
822,2015,4,Corrientes,30.0,30.0,30.0,0.0
798,2016,1,Corrientes,30.0,30.0,31.0,3.33
774,2016,2,Corrientes,31.0,31.0,31.0,0.0
750,2016,3,Corrientes,31.0,31.0,31.0,0.0
726,2016,4,Corrientes,31.0,31.0,31.0,0.0
702,2017,1,Corrientes,31.0,31.0,31.0,0.0
678,2017,2,Corrientes,31.0,31.0,32.0,3.23
654,2017,3,Corrientes,32.0,32.0,33.0,3.12
630,2017,4,Corrientes,33.0,33.0,33.0,0.0
606,2018,1,Corrientes,33.0,33.0,34.0,3.03
582,2018,2,Corrientes,34.0,34.0,34.0,0.0
558,2018,3,Corrientes,34.0,34.0,35.0,2.94
534,2018,4,Corrientes,35.0,35.0,35.0,0.0
510,2019,1,Corrientes,35.0,35.0,38.0,8.57
486,2019,2,Corrientes,38.0,38.0,38.0,0.0
462,2019,3,Corrientes,38.0,38.0,39.0,2.63
438,2019,4,Corrientes,39.0,39.0,39.0,0.0
414,2020,1,Corrientes,39.0,39.0,40.0,2.56
390,2020,2,Corrientes,40.0,40.0,42.0,5.0
366,2020,3,Corrientes,42.0,42.0,42.0,0.0
342,2020,4,Corrientes,42.0,42.0,43.0,2.38
318,2021,1,Corrientes,43.0,43.0,44.0,2.33
294,2021,2,Corrientes,44.0,44.0,45.0,2.27
270,2021,3,Corrientes,45.0,45.0,46.0,2.22
246,2021,4,Corrientes,46.0,46.0,48.0,4.35
222,2022,1,Corrientes,48.0,48.0,48.0,0.0
198,2022,2,Corrientes,48.0,48.0,48.0,0.0
174,2022,3,Corrientes,48.0,48.0,52.0,8.33
150,2022,4,Corrientes,52.0,52.0,52.0,0.0
126,2023,1,Corrientes,52.0,52.0,52.0,0.0
102,2023,2,Corrientes,52.0,52.0,53.0,1.92
78,2023,3,Corrientes,53.0,53.0,53.0,0.0
54,2023,4,Corrientes,53.0,53.0,52.0,-1.89
30,2024,1,Corrientes,52.0,52.0,51.0,-1.92
989,2014,1,Córdoba,53.0,53.0,53.0,0.0
965,2014,2,Córdoba,53.0,53.0,54.0,1.89
941,2014,3,Córdoba,54.0,54.0,55.0,1.85
917,2014,4,Córdoba,55.0,55.0,55.0,0.0
893,2015,1,Córdoba,55.0,55.0,56.0,1.82
869,2015,2,Córdoba,56.0,56.0,57.0,1.79
845,2015,3,Córdoba,57.0,57.0,57.0,0.0
821,2015,4,Córdoba,57.0,57.0,55.0,-3.51
797,2016,1,Córdoba,55.0,55.0,58.0,5.45
773,2016,2,Córdoba,58.0,58.0,58.0,0.0
749,2016,3,Córdoba,58.0,58.0,58.0,0.0
725,2016,4,Córdoba,58.0,58.0,58.0,0.0
701,2017,1,Córdoba,58.0,58.0,59.0,1.72
677,2017,2,Córdoba,59.0,59.0,62.0,5.08
653,2017,3,Córdoba,62.0,62.0,63.0,1.61
629,2017,4,Córdoba,63.0,63.0,64.0,1.59
605,2018,1,Córdoba,64.0,64.0,63.0,-1.56
581,2018,2,Córdoba,63.0,63.0,64.0,1.59
557,2018,3,Córdoba,64.0,64.0,65.0,1.56
533,2018,4,Córdoba,65.0,65.0,66.0,1.54
509,2019,1,Córdoba,66.0,66.0,68.0,3.03
485,2019,2,Córdoba,68.0,68.0,69.0,1.47
461,2019,3,Córdoba,69.0,69.0,70.0,1.45
437,2019,4,Córdoba,70.0,70.0,71.0,1.43
413,2020,1,Córdoba,71.0,71.0,73.0,2.82
389,2020,2,Córdoba,73.0,73.0,75.0,2.74
365,2020,3,Córdoba,75.0,75.0,78.0,4.0
341,2020,4,Córdoba,78.0,78.0,79.0,1.28
317,2021,1,Córdoba,79.0,79.0,80.0,1.27
293,2021,2,Córdoba,80.0,80.0,81.0,1.25
269,2021,3,Córdoba,81.0,81.0,85.0,4.94
245,2021,4,Córdoba,85.0,85.0,86.0,1.18
221,2022,1,Córdoba,86.0,86.0,87.0,1.16
197,2022,2,Córdoba,87.0,87.0,88.0,1.15
173,2022,3,Córdoba,88.0,88.0,89.0,1.14
149,2022,4,Córdoba,89.0,89.0,89.0,0.0
125,2023,1,Córdoba,89.0,89.0,90.0,1.12
101,2023,2,Córdoba,90.0,90.0,90.0,0.0
77,2023,3,Córdoba,90.0,90.0,91.0,1.11
53,2023,4,Córdoba,91.0,91.0,91.0,0.0
29,2024,1,Córdoba,91.0,91.0,91.0,0.0
991,2014,1,Entre Ríos,34.0,34.0,35.0,2.94
967,2014,2,Entre Ríos,35.0,35.0,35.0,0.0
943,2014,3,Entre Ríos,35.0,35.0,36.0,2.86
919,2014,4,Entre Ríos,36.0,36.0,42.0,16.67
895,2015,1,Entre Ríos,42.0,42.0,43.0,2.38
871,2015,2,Entre Ríos,43.0,43.0,44.0,2.33
847,2015,3,Entre Ríos,44.0,44.0,44.0,0.0
823,2015,4,Entre Ríos,44.0,44.0,44.0,0.0
799,2016,1,Entre Ríos,44.0,44.0,45.0,2.27
775,2016,2,Entre Ríos,45.0,45.0,45.0,0.0
751,2016,3,Entre Ríos,45.0,45.0,45.0,0.0
727,2016,4,Entre Ríos,45.0,45.0,45.0,0.0
703,2017,1,Entre Ríos,45.0,45.0,45.0,0.0
679,2017,2,Entre Ríos,45.0,45.0,46.0,2.22
655,2017,3,Entre Ríos,46.0,46.0,48.0,4.35
631,2017,4,Entre Ríos,48.0,48.0,49.0,2.08
607,2018,1,Entre Ríos,49.0,49.0,49.0,0.0
583,2018,2,Entre Ríos,49.0,49.0,50.0,2.04
559,2018,3,Entre Ríos,50.0,50.0,54.0,8.0
535,2018,4,Entre Ríos,54.0,54.0,57.0,5.56
511,2019,1,Entre Ríos,57.0,57.0,57.0,0.0
487,2019,2,Entre Ríos,57.0,57.0,58.0,1.75
463,2019,3,Entre Ríos,58.0,58.0,58.0,0.0
439,2019,4,Entre Ríos,58.0,58.0,56.0,-3.45
415,2020,1,Entre Ríos,56.0,56.0,57.0,1.79
391,2020,2,Entre Ríos,57.0,57.0,58.0,1.75
367,2020,3,Entre Ríos,58.0,58.0,59.0,1.72
343,2020,4,Entre Ríos,59.0,59.0,60.0,1.69
319,2021,1,Entre Ríos,60.0,60.0,62.0,3.33
295,2021,2,Entre Ríos,62.0,62.0,62.0,0.0
271,2021,3,Entre Ríos,62.0,62.0,63.0,1.61
247,2021,4,Entre Ríos,63.0,63.0,64.0,1.59
223,2022,1,Entre Ríos,64.0,64.0,64.0,0.0
